StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.3,Q1.4,randomID,helptext,Referer
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Here you can provide your contact details for a chance to win one of five £50 gift cards from Blackwell’s. This form is independent from the survey and any contact information you provide cannot be linked to your survey responses. Your personal data will be stored securely, and it will be accessed exclusively to select winners through a raffle. The information will be permanently deleted once the raffle prizes are accepted, and it will not be used for any other purpose.



You can modify your contact details, and/or withdraw your consent, at any time until XX month 2020 by contacting the Reproducible Research Oxford Coordinator, Dr Malika Ihle (malika.ihle@anthro.ox.ac.uk). 



Consent *required



  Qualtrics.SurveyEngine.setEmbeddedData(""ReferrerURL"", document.referrer || """");","Minimally, please enter either your email address or your phone number, so that we can notify you if you are selected as one of the winners.



Name (optional)",Email (optional),Phone number (optional),randomID,helptext,Referer
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID47""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""randomID""}","{""ImportId"":""helptext""}","{""ImportId"":""Referer""}"
2020-12-07 11:01:18,2020-12-07 11:02:04,Survey Preview,100,45,True,2020-12-07 11:02:05,R_0de5qS7k1R7PSSd,preview,EN-GB,I consent to entering the raffle and to processing of the information I provide as outlined above.,Malika Ihle,malika_ihle@hotmail.fr,,28513709,,https://oxfordxpsy.az1.qualtrics.com/jfe/preview/SV_2mzd1b3xFm88ohT?Q_CHL=preview&Q_SurveyVersionID=current
2020-12-07 11:10:35,2020-12-07 11:11:19,Survey Preview,100,44,True,2020-12-07 11:11:20,R_2PjNfwpUtAcDBuj,preview,EN-GB,I consent to entering the raffle and to processing of the information I provide as outlined above.,,,,38855894,,https://oxfordxpsy.az1.qualtrics.com/jfe/preview/SV_2mzd1b3xFm88ohT?Q_CHL=preview&Q_SurveyVersionID=current
2020-12-07 11:17:46,2020-12-07 11:18:01,Survey Preview,100,15,True,2020-12-07 11:18:02,R_2tt0fdHuO4UAR5r,preview,EN-GB,I consent to entering the raffle and to processing of the information I provide as outlined above.,,,,22554875,,https://oxfordxpsy.az1.qualtrics.com/jfe/preview/SV_2mzd1b3xFm88ohT?Q_CHL=preview&Q_SurveyVersionID=current
2020-12-07 11:18:32,2020-12-07 11:18:38,Survey Preview,100,6,True,2020-12-07 11:18:39,R_1SxMu3ssEfC2MCd,preview,EN-GB,I consent to entering the raffle and to processing of the information I provide as outlined above.,,,,25861996,,https://oxfordxpsy.az1.qualtrics.com/jfe/previewForm/SV_2mzd1b3xFm88ohT?Q_CHL=preview&Q_SurveyVersionID=current
2020-12-07 18:29:33,2020-12-07 18:43:02,Survey Preview,100,809,True,2020-12-07 18:43:03,R_b26D0GJ1c9xxvax,preview,EN-GB,I consent to entering the raffle and to processing of the information I provide as outlined above.,,,,52774969,,https://oxfordxpsy.az1.qualtrics.com/jfe/preview/SV_2mzd1b3xFm88ohT?Q_CHL=preview&Q_SurveyVersionID=current
2020-12-08 10:30:04,2020-12-08 10:30:15,Survey Preview,100,10,True,2020-12-08 10:30:15,R_2P4LMfXNvm1H3mv,preview,EN-GB,I consent to entering the raffle and to processing of the information I provide as outlined above.,,,,53676835,,https://oxfordxpsy.az1.qualtrics.com/jfe/preview/SV_2mzd1b3xFm88ohT?Q_CHL=preview&Q_SurveyVersionID=current
2020-12-08 10:42:24,2020-12-08 10:42:33,Survey Preview,100,9,True,2020-12-08 10:42:34,R_bvbYCL7PQEQesnv,preview,EN-GB,I consent to entering the raffle and to processing of the information I provide as outlined above.,,,,69965127,,https://oxfordxpsy.az1.qualtrics.com/jfe/preview/SV_2mzd1b3xFm88ohT?Q_CHL=preview&Q_SurveyVersionID=current
2020-12-09 12:53:45,2020-12-09 12:53:48,Survey Preview,100,2,True,2020-12-09 12:53:49,R_2OYWOxwjRDQ9sgI,preview,EN-GB,,,,,33378921,,https://oxfordxpsy.az1.qualtrics.com/jfe/preview/SV_2mzd1b3xFm88ohT?Q_CHL=preview&Q_SurveyVersionID=current
